City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Ushuaia,AR,2020-02-23 20:51:50,-54.8,-68.3,46.4,87,75,21.92
71,Pampa,US,2020-02-23 20:50:49,35.54,-100.96,75.0,43,75,20.8
72,Lompoc,US,2020-02-23 20:52:45,34.64,-120.46,64.99,55,1,5.82
73,Santiago,CL,2020-02-23 20:49:47,-33.46,-70.65,84.0,18,0,8.05
74,Praia,CV,2020-02-23 20:52:45,14.92,-23.51,69.8,73,75,18.34
75,Kavieng,PG,2020-02-23 20:52:45,-2.57,150.8,84.29,69,2,8.01
76,Namatanai,PG,2020-02-23 20:52:46,-3.67,152.43,83.97,75,39,10.16
77,Bitkine,TD,2020-02-23 20:52:46,11.98,18.21,77.27,12,0,10.89
78,Nazare,BR,2020-02-23 20:52:46,-13.04,-39.01,80.91,76,100,5.55
79,Opuwo,NA,2020-02-23 20:52:46,-18.06,13.84,72.63,34,63,10.85
80,Vaini,TO,2020-02-23 20:52:08,-21.2,-175.2,80.6,88,40,9.17
81,Victoria,HK,2020-02-23 20:51:32,22.29,114.16,68.0,63,20,27.51
82,Kahului,US,2020-02-23 20:50:26,20.89,-156.47,78.8,61,40,5.82
83,Nishihara,JP,2020-02-23 20:52:47,26.18,127.76,60.8,77,20,3.36
84,Kiruna,SE,2020-02-23 20:52:47,67.86,20.23,30.2,68,100,6.93
85,Kiunga,PG,2020-02-23 20:52:48,-6.12,141.29,73.76,99,96,1.92
86,La Ronge,CA,2020-02-23 20:51:59,55.1,-105.28,32.0,83,20,10.29
87,Guerrero Negro,MX,2020-02-23 20:52:48,27.98,-114.06,64.15,59,100,18.7
88,Vardo,NO,2020-02-23 20:52:48,70.37,31.11,26.6,86,75,11.41
89,Kargasok,RU,2020-02-23 20:52:48,59.06,80.86,3.0,90,0,6.64
90,Jiuquan,CN,2020-02-23 20:52:49,39.74,98.52,27.5,43,91,4.79
91,Ryotsu,JP,2020-02-23 20:52:49,38.08,138.43,33.8,86,75,3.36
92,Antofagasta,CL,2020-02-23 20:52:49,-23.65,-70.4,73.4,64,20,12.75
93,Pisco,PE,2020-02-23 20:52:49,-13.7,-76.22,79.0,30,40,10.29
94,Dalby,AU,2020-02-23 20:52:49,-27.18,151.27,66.99,100,75,6.93
95,Iqaluit,CA,2020-02-23 20:50:43,63.75,-68.51,-23.01,67,20,13.87
96,Ankara,TR,2020-02-23 20:48:38,39.92,32.85,41.0,75,75,3.22
97,Shinpokh,PK,2020-02-23 20:52:50,34.33,71.18,57.2,76,20,4.7
98,Sioux Lookout,CA,2020-02-23 20:50:52,50.1,-91.92,37.4,59,90,12.75
99,Zgierz,PL,2020-02-23 20:52:50,51.86,19.41,46.0,93,75,12.75
100,Bathsheba,BB,2020-02-23 20:52:51,13.22,-59.52,84.2,70,75,14.99
101,Salalah,OM,2020-02-23 20:52:09,17.02,54.09,75.2,78,0,3.36
102,Talnakh,RU,2020-02-23 20:52:51,69.49,88.4,15.8,85,75,29.08
103,Anadyr,RU,2020-02-23 20:52:51,64.75,177.48,-20.0,75,0,2.24
104,New Norfolk,AU,2020-02-23 20:52:08,-42.78,147.06,57.99,76,75,4.7
105,Souillac,MU,2020-02-23 20:52:02,-20.52,57.52,77.0,88,40,3.36
106,Hermanus,ZA,2020-02-23 20:52:10,-34.42,19.23,68.0,77,0,8.01
107,Sechura,PE,2020-02-23 20:52:52,-5.56,-80.82,74.28,84,2,15.14
108,Katsuura,JP,2020-02-23 20:52:52,35.13,140.3,42.8,41,40,9.17
109,Seddon,AU,2020-02-23 20:52:52,-37.81,144.89,66.0,93,75,6.93
110,Butaritari,KI,2020-02-23 20:51:51,3.07,172.79,84.88,77,76,12.91
111,Balkanabat,TM,2020-02-23 20:52:53,39.51,54.37,47.79,72,94,1.43
112,Rehoboth,NA,2020-02-23 20:52:53,-23.32,17.08,68.79,73,87,13.82
113,Elizabeth City,US,2020-02-23 20:52:53,36.29,-76.25,62.6,38,1,5.82
114,Sisimiut,GL,2020-02-23 20:52:53,66.94,-53.67,-2.88,73,100,3.67
115,Jamame,SO,2020-02-23 20:52:54,0.07,42.75,82.06,85,2,24.32
116,Hambantota,LK,2020-02-23 20:52:54,6.12,81.12,79.41,82,100,23.4
117,Basco,PH,2020-02-23 20:52:54,20.45,121.97,74.84,75,66,21.39
118,Eureka,US,2020-02-23 20:50:53,40.8,-124.16,57.0,76,90,2.17
119,Bunia,CD,2020-02-23 20:52:54,1.57,30.25,80.98,46,87,5.41
120,Sayyan,YE,2020-02-23 20:52:55,15.17,44.32,52.21,23,72,2.84
121,Dong Hoi,VN,2020-02-23 20:52:55,17.48,106.6,61.92,94,2,2.06
122,Kerema,PG,2020-02-23 20:52:55,-7.96,145.78,74.98,96,100,4.52
123,Puerto Ayora,EC,2020-02-23 20:52:08,-0.74,-90.35,84.2,74,20,10.29
124,Chuy,UY,2020-02-23 20:52:04,-33.7,-53.46,71.87,61,23,10.29
125,Saint-Pierre,RE,2020-02-23 20:52:56,-21.34,55.48,75.2,78,0,4.7
126,Pangnirtung,CA,2020-02-23 20:52:56,66.15,-65.71,-31.0,66,20,2.24
127,Kamaishi,JP,2020-02-23 20:52:56,39.27,141.88,32.02,58,0,3.4
128,Yulara,AU,2020-02-23 20:52:57,-25.24,130.99,71.6,28,0,6.93
129,Meulaboh,ID,2020-02-23 20:52:07,4.14,96.13,81.03,81,5,7.7
130,Petropavlovsk-Kamchatskiy,RU,2020-02-23 20:52:00,53.05,158.65,19.4,62,40,11.18
131,Dana Point,US,2020-02-23 20:52:29,33.47,-117.7,66.0,72,90,3.36
132,Jombang,ID,2020-02-23 20:52:57,-7.55,112.23,73.47,95,23,1.99
133,Teguise,ES,2020-02-23 20:52:58,29.06,-13.56,71.6,56,100,16.11
134,Bud,US,2020-02-23 20:52:58,39.45,-86.18,55.99,55,1,11.41
135,Tuktoyaktuk,CA,2020-02-23 20:52:58,69.45,-133.04,-5.8,76,90,18.34
136,Madimba,TZ,2020-02-23 20:52:58,-10.4,40.33,82.4,83,75,14.99
137,Cherskiy,RU,2020-02-23 20:52:59,68.75,161.3,-27.56,89,48,6.17
138,Sakakah,SA,2020-02-23 20:52:59,29.97,40.21,62.6,27,100,9.17
139,Avarua,CK,2020-02-23 20:52:01,-21.21,-159.78,80.6,88,100,3.36
140,Fort Myers Beach,US,2020-02-23 20:52:12,26.45,-81.95,81.0,44,1,8.05
141,Mangan,IN,2020-02-23 20:52:59,27.52,88.53,38.46,76,85,7.43
142,Torbay,CA,2020-02-23 20:52:07,47.67,-52.73,34.0,81,20,18.34
143,Gambela,ET,2020-02-23 20:53:00,8.25,34.58,78.82,57,86,3.56
144,Caravelas,BR,2020-02-23 20:53:00,-17.71,-39.25,79.25,85,100,14.43
145,Port-Cartier,CA,2020-02-23 20:53:01,50.03,-66.87,33.01,86,75,6.93
146,Pevek,RU,2020-02-23 20:53:01,69.7,170.31,-13.94,99,100,5.64
147,Norman Wells,CA,2020-02-23 20:53:01,65.28,-126.83,5.0,77,40,9.17
148,Severo-Kurilsk,RU,2020-02-23 20:53:01,50.68,156.12,24.21,95,100,35.48
149,Sorland,NO,2020-02-23 20:53:02,67.67,12.69,32.0,62,75,32.21
150,Kuytun,RU,2020-02-23 20:53:02,54.34,101.5,1.24,99,23,1.97
151,Waipawa,NZ,2020-02-23 20:53:02,-41.41,175.52,64.99,82,28,6.93
152,Sitka,US,2020-02-23 20:52:07,57.05,-135.33,33.8,93,90,10.29
153,Upernavik,GL,2020-02-23 20:52:00,72.79,-56.15,-17.82,81,0,7.31
154,Nantucket,US,2020-02-23 20:53:03,41.28,-70.1,48.2,75,1,13.87
155,Bambous Virieux,MU,2020-02-23 20:53:03,-20.34,57.76,77.0,88,40,3.36
156,Tezu,IN,2020-02-23 20:53:03,27.92,96.17,60.64,47,0,2.8
157,Leshukonskoye,RU,2020-02-23 20:53:03,64.9,45.76,31.96,95,100,15.97
158,Faya,SA,2020-02-23 20:53:04,18.39,42.45,64.4,39,75,9.17
159,Osypenko,UA,2020-02-23 20:53:04,46.91,36.83,40.32,83,100,20.98
160,Dhidhdhoo,MV,2020-02-23 20:53:04,6.88,73.1,81.93,78,100,8.86
161,Sire,NG,2020-02-23 20:53:04,12.93,5.2,80.76,11,0,14.16
162,Ahipara,NZ,2020-02-23 20:51:54,-35.17,173.17,70.0,86,0,1.01
163,Carnarvon,AU,2020-02-23 20:52:02,-24.87,113.63,71.6,83,0,5.82
164,Bima,ID,2020-02-23 20:53:05,-8.47,118.72,71.49,97,32,1.63
165,Klaksvik,FO,2020-02-23 20:53:05,62.23,-6.59,35.6,55,25,25.28
166,Longyearbyen,SJ,2020-02-23 20:52:03,78.22,15.64,-4.0,76,20,10.29
167,Palmer,US,2020-02-23 20:53:06,42.16,-72.33,55.4,25,40,11.41
168,Aklavik,CA,2020-02-23 20:53:06,68.22,-135.01,-2.2,77,75,4.7
169,Turukhansk,RU,2020-02-23 20:53:06,65.82,87.98,13.62,94,100,13.04
170,Yarmouth,US,2020-02-23 20:53:06,41.71,-70.23,53.01,31,1,13.87
171,Havre-Saint-Pierre,CA,2020-02-23 20:53:07,50.23,-63.6,30.2,92,90,4.7
172,Yar-Sale,RU,2020-02-23 20:53:07,66.83,70.83,29.5,84,100,27.89
173,Salto,UY,2020-02-23 20:53:07,-31.38,-57.97,81.0,44,0,8.05
174,Aksu,CN,2020-02-23 20:53:07,41.12,80.26,37.27,45,96,4.34
175,Amahai,ID,2020-02-23 20:53:07,-3.33,128.92,81.12,71,68,23.0
176,Thompson,CA,2020-02-23 20:53:08,55.74,-97.86,17.6,67,90,5.82
177,The Valley,AI,2020-02-23 20:50:44,18.22,-63.06,82.4,65,40,5.82
178,Noshiro,JP,2020-02-23 20:53:08,40.2,140.02,40.78,59,67,18.23
179,Cabo San Lucas,MX,2020-02-23 20:50:02,22.89,-109.91,82.4,44,40,10.29
180,Cidreira,BR,2020-02-23 20:53:08,-30.18,-50.21,71.91,73,1,17.29
181,Ulladulla,AU,2020-02-23 20:53:09,-35.35,150.47,70.0,77,13,8.05
182,Necochea,AR,2020-02-23 20:53:09,-38.55,-58.74,84.99,20,0,8.01
183,Kuloy,RU,2020-02-23 20:53:09,61.03,42.49,31.41,95,100,8.95
184,High Level,CA,2020-02-23 20:53:09,58.52,-117.14,30.2,46,20,8.05
185,Port Elizabeth,ZA,2020-02-23 20:52:02,-33.92,25.57,59.0,77,0,2.24
186,Nanortalik,GL,2020-02-23 20:53:10,60.14,-45.24,27.72,79,100,1.72
187,Dingle,PH,2020-02-23 20:53:10,11.0,122.67,72.07,92,58,11.05
188,Beringovskiy,RU,2020-02-23 20:53:10,63.05,179.32,-12.48,87,1,3.53
189,Polyarnyy,RU,2020-02-23 20:53:11,69.2,33.45,26.6,92,75,2.24
190,Storforshei,NO,2020-02-23 20:53:11,66.4,14.52,32.0,96,75,21.92
191,Mezen,RU,2020-02-23 20:53:11,65.85,44.24,31.82,89,100,19.66
192,Fayaoue,NC,2020-02-23 20:53:11,-20.65,166.53,79.3,75,2,15.35
193,Qaanaaq,GL,2020-02-23 20:51:55,77.48,-69.36,-19.41,68,0,7.14
194,Rantepao,ID,2020-02-23 20:53:12,-2.97,119.9,67.89,98,100,0.6
195,Innisfail,AU,2020-02-23 20:53:12,-17.53,146.03,72.0,96,70,2.84
196,Provideniya,RU,2020-02-23 20:53:12,64.38,-173.3,-6.63,70,0,2.08
197,Tessalit,ML,2020-02-23 20:53:12,20.2,1.01,75.63,13,4,13.02
198,Saint Anthony,US,2020-02-23 20:53:12,45.02,-93.22,44.6,48,1,12.75
199,Orbetello,IT,2020-02-23 20:53:13,42.44,11.22,50.0,87,51,4.7
200,Fenoarivo,MG,2020-02-23 20:53:13,-18.93,47.44,68.0,94,75,8.05
201,Warmbad,NA,2020-02-23 20:53:13,-28.45,18.73,79.75,20,0,10.22
202,Mosjoen,NO,2020-02-23 20:53:13,65.84,13.19,35.6,55,40,9.17
203,Kapit,MY,2020-02-23 20:53:14,2.02,112.93,70.84,99,96,0.92
204,Alofi,NU,2020-02-23 20:51:46,-19.06,-169.92,80.76,83,100,11.16
205,Flin Flon,CA,2020-02-23 20:53:14,54.77,-101.86,33.8,59,40,9.17
