City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
188,Najran,SA,71.6,clear sky,17.49,44.13,محمد هادي ال فطيح
190,Taolanaro,MG,75.2,broken clouds,-25.03,47.0,Lavasoa
196,Honiara,SB,86.0,few clouds,-9.43,159.95,Heritage Park Hotel
197,Kavieng,PG,84.25,scattered clouds,-2.57,150.8,Nusa Island Retreat
200,Saint-Joseph,RE,78.8,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
202,Botro,CI,87.8,overcast clouds,7.85,-5.31,Motel de la Station BOTRO
211,Ponta Do Sol,PT,70.0,few clouds,32.67,-17.1,Hotel do Campo
212,Topolobampo,MX,73.99,overcast clouds,25.6,-109.05,Hotel Marina Topolobampo
213,Boa Vista,BR,87.8,overcast clouds,2.82,-60.67,Aipana Plaza Hotel
215,Rio Cuarto,AR,78.8,few clouds,-33.13,-64.35,Hotel Menossi
217,Ixtapa,MX,78.8,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
218,Saldanha,ZA,71.35,clear sky,-33.01,17.94,Blue Bay Lodge
219,Saint-Leu,RE,78.8,scattered clouds,-21.15,55.28,La Caz Oceane
220,Tagusao,PH,77.94,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
226,Cap Malheureux,MU,75.99,few clouds,-19.98,57.61,Pereybere Hotel & Spa
227,Villa Carlos Paz,AR,82.0,few clouds,-31.42,-64.5,Monte Carlo
233,Ulladulla,AU,77.0,clear sky,-35.35,150.47,Sandpiper Motel
236,Bria,CF,71.42,broken clouds,6.54,21.99,
237,Buin,CL,73.4,overcast clouds,-33.73,-70.75,Paihuen
240,Kimbe,PG,88.09,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
241,Noumea,NC,82.99,few clouds,-22.28,166.46,Hôtel Le Lagon
243,Byron Bay,AU,72.0,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
244,Puerto Colombia,CO,80.6,few clouds,10.99,-74.95,Hotel El Emigrante
245,Suleja,NG,82.4,few clouds,9.18,7.18,Capy Motel
249,Port-Gentil,GA,82.4,few clouds,-0.72,8.78,Fengshui Residence
250,Raga,SS,71.44,broken clouds,8.46,25.68,
251,Cam Ranh,VN,75.2,few clouds,11.92,109.16,OYO 598 Peony Hotel
252,Jacobina,BR,72.79,scattered clouds,-11.18,-40.52,HOSTEL JACOBINA
253,Chicama,PE,75.2,mist,-7.84,-79.15,Tiki Surf House
254,Mackay,AU,82.0,broken clouds,-21.15,149.2,International Lodge Motel
255,Malanville,BJ,75.04,clear sky,11.87,3.39,DEVO HOTEL
257,General Jose Eduvigis Diaz,PY,84.2,clear sky,-27.17,-58.42,
258,Bonthe,SL,80.65,overcast clouds,7.53,-12.51,Bonthe Holiday Village
260,Cabo San Lucas,MX,73.4,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
